kepoi_name,koi_disposition,koi_period,koi_prad,koi_teq,koi_insol,koi_steff,koi_slogg
K00752.01,CONFIRMED,9.48803557,2.26,793.0,93.59,5455.0,4.467
K00752.02,CONFIRMED,54.4183827,2.83,443.0,9.11,5455.0,4.467
K00753.01,CANDIDATE,19.89913995,14.6,638.0,39.3,5853.0,4.544
K00755.01,CONFIRMED,2.525591777,2.75,1406.0,926.16,6031.0,4.438
K00756.01,CONFIRMED,11.09432054,3.9,835.0,114.81,6046.0,4.486
K00756.02,CONFIRMED,4.13443512,2.77,1160.0,427.65,6046.0,4.486
K00756.03,CONFIRMED,2.56658897,1.59,1360.0,807.74,6046.0,4.486
K00757.01,CONFIRMED,16.06864674,5.76,600.0,30.75,5031.0,4.485
K00001.01,CONFIRMED,2.470613377,13.04,1339.0,761.46,5820.0,4.457
K00002.01,CONFIRMED,2.204735417,16.1,2048.0,4148.92,6440.0,4.019
K00010.01,CONFIRMED,3.522498429,14.59,1521.0,1264.67,6225.0,4.169
K00112.02,CONFIRMED,3.709214104,1.16,1206.0,500.46,5833.0,4.407
K00746.01,CONFIRMED,9.27358173,2.47,649.0,41.85,4856.0,4.583
K00747.01,CONFIRMED,6.02930329,2.85,678.0,50.04,4537.0,4.648
K00749.01,CONFIRMED,5.349553819,2.55,919.0,168.99,5185.0,4.44
K00749.02,CONFIRMED,3.94105221,1.7,1018.0,253.15,5185.0,4.44
K00749.03,CONFIRMED,8.10904807,1.3,800.0,97.03,5185.0,4.44
K00750.01,CONFIRMED,21.67699193,2.95,530.0,18.64,4954.0,4.5
K00751.01,CONFIRMED,4.99677968,2.78,917.0,166.95,5339.0,4.552
K00769.01,CONFIRMED,4.280963604,2.3,1012.0,247.87,5644.0,4.564
K00773.01,CONFIRMED,38.3775486,2.82,529.0,18.53,5481.0,4.369
K00757.02,CONFIRMED,41.19725502,3.86,439.0,8.76,5031.0,4.485
K00757.03,CONFIRMED,6.252962249,2.65,823.0,108.3,5031.0,4.485
K00758.01,CONFIRMED,16.01308419,3.1,593.0,29.31,5015.0,4.499
K00759.01,CONFIRMED,32.62876672,3.36,506.0,15.55,5586.0,4.56
K00759.02,CONFIRMED,91.7732862,2.12,359.0,3.92,5586.0,4.56
K00760.01,CANDIDATE,4.959319244,12.21,1103.0,349.4,5712.0,4.359
K00762.01,CONFIRMED,4.49876511,2.1,1133.0,389.62,6075.0,4.486
K00115.01,CONFIRMED,5.412203927,2.94,1093.0,337.68,5779.0,4.339
K00764.01,CONFIRMED,41.43958662,5.5,516.0,16.72,5468.0,4.367
K00765.01,CONFIRMED,8.35389523,2.52,790.0,91.9,5592.0,4.582
K00766.01,CONFIRMED,4.125543472,4.43,1243.0,565.35,6174.0,4.417
K00767.01,CONFIRMED,2.816504904,12.21,1219.0,521.13,5532.0,4.452
K00786.01,CONFIRMED,3.689920099,1.89,1147.0,408.99,5880.0,4.518
K00787.01,CONFIRMED,4.431238488,3.25,1104.0,351.23,5714.0,4.428
K00787.02,CONFIRMED,11.37936986,3.95,806.0,99.68,5714.0,4.428
K00788.01,CONFIRMED,26.39432897,3.07,489.0,13.49,5129.0,4.595
